invoice_id,buyer_name,buyer_country,linked_shipment_id,invoice_date,due_date,invoice_amount_usd,invoice_amount_inr,amount_received_usd,outstanding_usd,days_overdue,payment_status,buyer_credit_score,ground_truth_risk,trap_type,analyst_note
INV-2025-A04,Al Nakheel Marine,UAE,SHIP-023,2025-11-15,2025-12-15,34100,2847350,34100,0,0,paid,7,LOW,TN,Paid day 25; clean; live crab premium buyer
INV-2025-G01,Gulf Marine Traders,UAE,SHIP-013,2025-11-28,2025-12-28,9800,818300,0,9800,102,overdue,2,HIGH,TP,TRUE POSITIVE: 102 days overdue; spot buyer; no prior relationship; no response to payment reminders
INV-2025-G02,Gulf Marine Traders,UAE,SHIP-019,2025-12-15,2026-01-14,5600,467600,0,5600,85,overdue,2,HIGH,TP,TRUE POSITIVE: 85 days overdue; second invoice to same spot buyer; pattern of non-payment confirmed
INV-2025-G03,Gulf Marine Traders,UAE,PRIOR-SHIP-G03,2025-10-05,2025-11-04,7200,601200,0,7200,156,overdue,2,HIGH,TP,TRUE POSITIVE: 156 days overdue; third invoice from prior shipment not in register; total Gulf Marine exposure $22600; no payment on any invoice
INV-2025-P01,Pacific Crown LLC,USA,SHIP-007,2025-08-01,2025-08-31,87000,7264500,0,87000,0,escrow,9,LOW,FP,TRAP FP: $87000 showing as outstanding looks like a massive collection problem. Reality: escrow arrangement ESC-2025-447 holds full amount; release triggered on delivery confirmation; not a receivable risk.
INV-2025-P02,Pacific Crown LLC,USA,SHIP-020,2025-08-25,2025-09-24,93000,7765500,0,93000,0,escrow,9,LOW,FP,TRAP FP: $93000 outstanding alongside 45-day delay looks CRITICAL. Same escrow ESC-2025-447; buyer credit AAA; historical payment rate 100% across 12 prior invoices totaling $1.2M.
INV-2025-P03,Pacific Crown LLC,USA,PRIOR-SHIP-P03,2025-05-10,2025-06-09,72000,6012000,72000,0,0,paid,9,LOW,FP,Prior invoice paid day 28; included to show escrow is not evasion — buyer has clean direct-payment history too
INV-2025-P04,Pacific Crown LLC,USA,PRIOR-SHIP-P04,2025-03-15,2025-04-14,65000,5427500,65000,0,0,paid,9,LOW,FP,Paid day 30; further confirming buyer reliability behind current escrow arrangement
INV-2025-S01,Sakura Marine Products,Japan,SHIP-005,2025-10-20,2025-12-19,55000,4592500,55000,0,0,paid,8,LOW,TN,Paid day 55 within NET-60; reliable Japan buyer
INV-2025-S02,Sakura Marine Products,Japan,SHIP-011,2025-11-25,2026-01-24,48000,4008000,0,48000,0,pending,8,LOW,TN,Within NET-60 window; not overdue; no risk
INV-2025-S03,Sakura Marine Products,Japan,SHIP-015,2025-12-10,2026-03-10,18400,1536400,18400,0,0,paid,8,MEDIUM,FN,TRAP FN: Shows as paid with zero outstanding — looks perfect. Hidden: NET-90 terms meant capital was locked 90 days at 11% WACC = $497 invisible financing cost per invoice. Across full Sakura portfolio this hidden cost is material.
INV-2025-S04,Sakura Marine Products,Japan,SHIP-018,2025-10-18,2025-12-17,39500,3298250,39500,0,0,paid,8,LOW,TN,Paid day 58 within NET-60; clean
INV-2025-C01,Coastal Fine Foods,USA,SHIP-024,2025-10-10,2025-11-09,52700,4400450,31620,21080,151,partial,4,CRITICAL,TP,TRUE POSITIVE: $21080 outstanding 151 days overdue; buyer paid partial to avoid formal default; legal notice threshold crossed; combine with INV-2025-C02 for total $40280 at risk
INV-2025-C02,Coastal Fine Foods,USA,SHIP-004,2025-12-05,2026-01-04,19200,1603200,0,19200,95,overdue,4,HIGH,TP,TRUE POSITIVE: 95 days overdue; second invoice from deteriorating buyer; combined with C01 total exposure $40280; recommend credit hold on all future shipments
INV-2025-C03,Coastal Fine Foods,USA,PRIOR-SHIP-C03,2025-07-15,2025-08-14,44000,3674000,44000,0,15,paid_late,4,MEDIUM,TN,Historical warning sign: paid 15 days late on prior invoice; flagged as late but technically paid; in hindsight an early indicator of current deterioration
INV-2025-H01,Hangzhou Seafood Group,China,SHIP-006,2025-11-15,2025-12-30,12800,1068800,0,12800,0,pending,6,HIGH,FN,TRAP FN: Pending within NET-45 window — looks fine. Hidden: part of the systemic e-BRC mismatch cluster. If ICEGATE batch rejection triggers, buyer will dispute liability and withhold payment as leverage.
INV-2025-H02,Hangzhou Seafood Group,China,SHIP-014,2025-11-10,2025-12-25,22100,1845350,22100,0,0,paid,6,LOW,TN,Paid on time; this buyer pays when documentation is clean
INV-2025-H03,Hangzhou Seafood Group,China,SHIP-022,2025-11-25,2026-01-09,16300,1361050,0,16300,90,pending,6,HIGH,FN,TRAP FN: Pending 90 days looks borderline but within extended NET-45. Hidden: IEC change on this shipment means customs hold is active; buyer is waiting on clearance before paying; if clearance fails buyer will reject the consignment; $16300 at risk.
INV-2025-E01,Eurofish Direct,EU,SHIP-017,2025-12-01,2025-12-31,7200,601200,0,7200,0,pending,7,LOW,TN,New buyer; within NET-30 window; small value; acceptable
INV-2025-E02,Eurofish Direct,EU,SHIP-025,2025-12-05,2026-01-04,11400,951900,11400,0,0,paid,7,LOW,TN,First transaction completed cleanly; buyer paid day 28; good start to relationship
